"","caseid","child_id","age_child","mother_id","first_born","sex_child","child_residence","child_alive","marital_status","union_status","num_union_status","age_cohabitation","first_sex","edu_level_mother","num_trips","owner_house","wealth_index","type_residence","traveled_12","partners_education","currently_working","literacy","current_age_respondent","type_dejure_residence","age_first_sex","worked_12_temp","worked_12","child_foster"
"4581","032426  1","02",15,"0324261",1,2,4,1,2,1,1,19,19,2,1,0,4,1,0,2,1,2,37,1,19,2,1,1
"4582","032424  1","02",10,"0324241",1,1,0,1,1,1,1,20,18,3,1,0,5,1,1,3,1,2,35,1,18,3,1,0
"4583","032460  1","02",16,"0324601",1,1,0,1,2,1,2,16,16,3,0,0,5,1,0,3,1,2,33,1,16,2,1,0
"4584","172085  2","02",6,"1720852",1,2,0,1,0,0,NA,NA,15,2,1,0,4,1,0,NA,0,2,23,1,15,0,0,0
"4585","172052  2","02",4,"1720522",1,1,0,1,2,1,1,17,17,3,0,0,2,1,0,2,0,2,24,1,17,0,0,0
"4586","172048  2","02",7,"1720482",1,2,0,1,2,1,1,19,16,2,0,0,4,1,0,2,0,2,31,1,16,0,0,0
"4587","172083  1","02",16,"1720831",0,1,4,1,2,1,2,13,14,1,4,0,4,1,0,1,1,2,34,1,14,2,1,1
"4588","172072  2","02",8,"1720722",0,2,0,1,2,1,2,14,14,2,5,0,4,1,0,1,0,2,25,1,14,0,0,0
"4589","172036  1","02",16,"1720361",1,2,0,1,2,1,2,18,19,2,1,0,4,1,0,1,1,2,36,1,19,2,1,0
"4590","172062  2","02",7,"1720622",0,2,0,1,2,1,2,14,14,2,0,0,3,1,0,2,0,2,26,1,14,1,0,0
"4591","172020  2","02",8,"1720202",0,2,0,1,1,1,1,17,16,2,0,0,4,1,0,2,1,2,32,1,16,2,1,0
"4592","172024  1","02",5,"1720241",0,1,0,1,3,2,2,12,12,2,8,0,3,1,0,2,1,2,28,1,12,2,1,0
"4593","172057  2","02",5,"1720572",1,2,0,1,2,1,1,15,14,1,2,0,3,1,0,1,0,2,24,1,14,0,0,0
"4594","215355  2","02",15,"2153552",0,1,0,1,1,1,1,27,27,3,0,2,5,1,0,2,1,2,46,1,27,2,1,0
"4595","215352  2","02",14,"2153522",0,2,0,1,2,1,1,28,16,1,0,0,2,1,0,2,1,2,48,1,16,2,1,0
"4596","215331  1","02",11,"2153311",0,2,0,1,4,2,1,26,26,3,0,0,4,1,0,3,1,2,42,1,26,2,1,0
"4597","215385  2","02",5,"2153852",0,1,0,1,2,1,2,16,16,3,1,0,4,1,0,1,1,2,31,1,16,2,1,0
"4598","215389  1","02",14,"2153891",0,1,0,1,5,2,2,18,18,1,0,2,1,1,0,3,1,0,38,1,18,2,1,0
"4599","215327  2","02",5,"2153272",0,2,4,1,2,1,2,18,18,2,20,0,5,1,0,2,1,2,32,1,18,2,1,1
"4600","215327  3","02",5,"2153273",1,2,0,1,2,1,1,21,15,2,0,0,5,1,0,8,0,2,26,1,15,1,0,0
"4601","215399  2","02",16,"2153992",0,2,4,1,2,1,2,16,16,1,0,0,2,1,0,8,0,1,39,1,16,0,0,1
"4602","215347  2","02",15,"2153472",1,2,0,1,2,1,2,17,20,2,2,0,4,1,0,1,1,2,38,1,20,2,1,0
"4603","215368  3","02",8,"2153683",1,2,0,1,2,1,2,16,13,1,0,0,2,1,0,1,0,2,24,1,13,1,0,0
"4604","086497  2","02",16,"0864972",0,2,0,1,1,1,1,20,20,2,0,0,3,1,0,1,1,2,46,1,20,2,1,0
"4605","086478  2","02",9,"0864782",1,2,0,1,2,1,1,14,14,3,0,0,3,1,0,3,1,2,30,1,14,2,1,0
"4606","086453  1","02",3,"0864531",0,1,0,1,5,2,2,14,14,2,4,0,2,1,0,2,0,2,26,1,14,1,0,0
"4607","086496  1","02",12,"0864961",1,2,0,1,2,1,2,15,15,1,0,0,2,1,0,2,0,2,28,1,15,0,0,0
"4608","086467  2","02",5,"0864672",1,1,0,1,2,1,1,18,17,1,1,0,2,1,0,3,0,2,24,1,17,0,0,0
"4609","086495  2","02",9,"0864952",0,1,0,1,1,1,1,18,17,1,0,0,3,1,0,1,0,2,38,1,17,0,0,0
"4610","116512  1","02",14,"1165121",1,2,0,1,2,1,1,18,18,3,30,0,5,1,0,NA,1,2,35,1,18,2,1,0
"4611","116511  2","02",10,"1165112",0,1,0,1,5,2,2,18,15,1,0,2,4,1,0,2,1,2,40,1,15,2,1,0
"4612","116596  2","02",6,"1165962",0,2,0,1,1,1,1,21,15,3,0,0,5,1,0,3,0,2,33,1,15,1,0,0
"4613","303891  2","02",4,"3038912",1,2,0,1,5,2,1,20,12,1,1,0,2,1,0,1,0,2,22,1,12,0,0,0
"4614","303822  2","02",10,"3038222",0,1,4,1,2,1,2,23,15,1,1,0,1,1,0,1,0,2,28,1,15,0,0,1
